Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2019,"Fernando Rodney","2 Tms",39,171,9.2308,4.8462,1.9048,1.1538,0.2339,0.1228,0.1111,0.273333333,1.5897,0.3429,0.6727,4.453807140461426,4.367916560020202,494
2019,"Adam Ottavino","NYY",61.1,257,11.8859,5.2826,2.25,0.7337,0.3152,0.1401,0.1751,0.189814814,1.2554,0.2707,0.9167,3.500211973461426,4.321065596259407,1247
2019,"Oliver Perez","CLE",37.2,158,10.7522,2.3894,4.5,0.9558,0.2848,0.0633,0.2215,0.236111111,1.1681,0.3125,0.7971,3.249586559461426,3.716979257513956,1514
2019,"Sean Doolittle","WSN",55,242,9.9818,2.2909,4.3571,1.6364,0.2521,0.0579,0.1942,0.271111111,1.3636,0.329,0.8254,4.2412197284614255,5.0595326466993855,1581
2019,"Hector Rondon","HOU",54.1,224,6.7914,2.9816,2.2778,1.3252,0.183,0.0804,0.1027,0.222772277,1.1595,0.2387,0.9108,4.732241289461426,4.831250674239438,2391
2019,"Luis Avilan","NYM",29,127,8.069,3.7241,2.1667,1.2414,0.2047,0.0945,0.1102,0.267857142,1.4483,0.3171,0.7614,4.774762047461426,4.627494435474791,2882
2019,"Kenley Jansen","LAD",54.2,229,11.689,2.3049,5.0714,1.4817,0.31,0.0611,0.2489,0.219047619,1.0976,0.2803,0.754,3.698647376461426,3.7047640757944555,3096
2019,"Tony Watson","SFG",54,231,6.8333,2,3.4167,1.5,0.1775,0.0519,0.1255,0.264150943,1.2593,0.2866,0.7781,4.815630502461426,4.895478954248958,3132
2019,"Will Harris","HOU",54.2,211,9.2195,2.1402,4.3077,0.9878,0.2654,0.0616,0.2038,0.208121827,0.9878,0.2574,0.8772,3.314501268461426,3.088178918331078,3192
2019,"Francisco Liriano","PIT",64,277,8.2969,4.5,1.8438,1.125,0.213,0.1155,0.0975,0.239495798,1.3906,0.28,0.7673,4.644912910461426,5.03970493497327,3201
2019,"T.J. McFarland","ARI",53.1,239,5.9063,3.2063,1.8421,1.0125,0.1464,0.0795,0.0669,0.320930232,1.65,0.3539,0.67,4.498038706461426,4.2660580111285125,3237
2019,"Zack Britton","NYY",56.1,230,7.5089,5.1124,1.4688,0.4793,0.2043,0.1391,0.0652,0.190721649,1.2249,0.2313,0.8663,4.004103460461426,3.8413360487893287,3240
2019,"Liam Hendriks","OAK",74.1,287,13.0762,2.0583,6.3529,0.4843,0.3763,0.0592,0.3171,0.193916349,0.9148,0.3013,0.9006,1.783575382461426,3.2243490870757463,3548
2019,"Zach Duke","CIN",23.1,106,6.9429,6.9429,1,1.5429,0.1698,0.1698,0,0.25,1.6714,0.2656,0.791,6.480185420461425,5.700536211943978,3840
2019,"Matt Magill","2 Tms",45,205,11.4,3.8,3,1.2,0.278,0.0927,0.1854,0.248618784,1.4222,0.3223,0.625,3.823037910461426,4.078422878185908,3950
2019,"Yusmeiro Petit","OAK",74.1,277,7.2646,0.9686,7.5,1.2108,0.2166,0.0289,0.1877,0.2,0.8206,0.2161,0.8085,3.680437218461426,4.660472636323149,4020
2019,"Pedro Strop","CHC",35,152,9.5143,4.3714,2.1765,1.2857,0.2434,0.1118,0.1316,0.232558139,1.3429,0.2841,0.6667,4.851609338461426,4.58544112273625,4070
2019,"Derek Holland","2 Tms",45.2,201,7.489,3.9416,1.9,1.7737,0.1891,0.0995,0.0896,0.251428571,1.4015,0.2652,0.7116,5.566101893461426,5.225035719673579,4141
2019,"David Hernandez","CIN",42.2,198,11.1797,4.2187,2.65,1.4766,0.2677,0.101,0.1667,0.306358381,1.7109,0.3932,0.5452,4.348037031461426,4.545753636141892,4259
2019,"Mark Melancon","2 Tms",61,259,9.4426,2.6557,3.5556,0.5902,0.2471,0.0695,0.1776,0.277310924,1.377,0.3626,0.7214,2.960742829461426,3.021138114225669,4264
2019,"Matt Albers","MIL",56.1,242,8.6272,4.4734,1.9286,0.9586,0.2231,0.1157,0.1074,0.23076923,1.3491,0.2781,0.6657,4.341381767461426,4.510084919007772,4300
2019,"Justin Wilson","NYM",32.2,136,9.9184,3.5816,2.7692,1.102,0.2647,0.0956,0.1691,0.231404958,1.2551,0.2963,0.8824,3.988343251461426,3.6749686020284997,4301
2019,"Tyler Chatwood","CHC",46.2,201,8.6786,4.6286,1.875,1.1571,0.2239,0.1194,0.1045,0.236994219,1.3929,0.2823,0.785,4.637322614461426,3.9886639184154395,4338
2019,"Mike Montgomery","CHC",27,123,6,4.3333,1.3846,2,0.1463,0.1057,0.0407,0.327102803,1.7778,0.3372,0.7576,6.223037910461426,4.880929922395282,4869
2019,"Jake Diekman","2 Tms",56,256,12.0536,5.4643,2.2059,0.4821,0.293,0.1328,0.1602,0.211538461,1.3929,0.3083,0.6604,3.651609338461426,4.12710405215621,5003
2019,"Jeurys Familia","NYM",51,237,10.0588,7.2353,1.3902,1.0588,0.2405,0.173,0.0675,0.268421052,1.8039,0.3462,0.6813,5.105390851461426,5.213747099567862,5114
2019,"Wade LeBlanc","SEA",82.2,343,6.5323,2.1774,3,1.7419,0.1749,0.0583,0.1166,0.259375,1.246,0.2724,0.7721,5.049650076461426,4.939228711664105,5221
2019,"Blake Parker","2 Tms",53,223,9.1698,3.566,2.5714,1.6981,0.2422,0.0942,0.148,0.234693877,1.2642,0.2667,0.75,4.996622815461427,4.494987941687962,5224
2019,"Wilmer Font","3 Tms",43.1,183,9.5538,2.7,3.5385,1.6615,0.2514,0.071,0.1803,0.253012048,1.2692,0.2982,0.786,4.5384205014614265,4.433095626977804,5257
2019,"Jose Alvarez","PHI",51.2,221,7.3161,2.4387,3,1.0452,0.19,0.0633,0.1267,0.290640394,1.4129,0.3354,0.7927,3.977876132461426,4.161816761182371,5358
2019,"Pedro Baez","LAD",63.1,252,9.379,2.9842,3.1429,0.7105,0.2619,0.0833,0.1786,0.17699115,0.9632,0.2229,0.614,3.301985319461426,4.662132208096224,5420
2019,"Jesse Chavez","TEX",48,208,8.25,3.1875,2.5882,1.3125,0.2115,0.0817,0.1298,0.276595744,1.4375,0.3261,0.768,4.473037910461427,4.524491246913871,5448
2019,"Ryan Brasier","BOS",48.2,212,9.2466,3.3288,2.7778,1.6644,0.2358,0.0849,0.1509,0.252631578,1.3562,0.2955,0.6383,4.8668724004614266,5.24151963352733,5615
2019,"Tyler Clippard","CLE",53.1,205,9.6188,2.1938,4.3846,0.8438,0.278,0.0634,0.2146,0.169398907,0.825,0.2097,0.8605,3.373038003461426,4.578039186751436,5640
2019,"Junior Guerra","MIL",75.1,311,8.3628,4.0619,2.0588,1.1947,0.2251,0.1093,0.1158,0.185873605,1.115,0.2073,0.7432,4.603569494461426,4.884223480194784,5702
2019,"Kelvin Herrera","CHW",43.2,209,8.2443,4.5343,1.8182,1.2366,0.1914,0.1053,0.0861,0.31693989,1.8321,0.3714,0.6474,4.757387883461426,5.202743195079521,6033
