Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2019,"Todd Frazier","NYM",115,446,402,96,59,17,2,18,53,62,34,0,98,10,0,0,9,1,2,0.23880597,785
2019,"Albert Pujols","LAA",115,479,431,108,67,19,0,22,50,85,38,1,62,3,7,0,18,1,0,0.250580046,1177
2019,"Wilson Ramos","NYM",128,478,433,129,98,17,0,14,50,71,40,5,59,3,2,0,16,1,0,0.297921478,1433
2019,"Miguel Cabrera","DET",124,504,453,131,101,20,0,10,38,55,43,3,100,3,5,0,18,0,0,0.289183222,1744
2019,"David Peralta","ARI",99,423,382,105,61,29,3,12,48,57,35,3,87,5,1,0,9,0,0,0.274869109,2136
2019,"Edwin Encarnacion","2 Tms",108,483,416,101,50,18,0,33,80,84,57,1,103,7,3,0,4,0,1,0.242788461,2151
2019,"Carlos Santana","CLE",143,624,518,147,85,28,1,33,100,86,103,11,97,2,1,0,13,4,0,0.283783783,2396
2019,"Nelson Cruz","MIN",105,456,401,121,63,23,0,35,67,92,45,4,119,7,2,0,12,0,1,0.301745635,2434
2019,"Yonder Alonso","2 Tms",107,322,281,56,34,12,0,10,34,36,37,2,68,2,2,0,12,0,1,0.199288256,2530
2019,"Roberto Perez","CLE",106,408,354,81,50,8,1,22,43,55,42,1,118,2,4,6,11,0,0,0.228813559,2900
2019,"Tommy Pham","TBR",130,586,505,141,90,29,2,20,68,61,75,4,108,5,1,0,20,20,3,0.27920792,2967
2019,"Mitch Moreland","BOS",78,279,245,61,31,14,1,15,39,50,31,0,60,1,2,0,10,1,0,0.248979591,3086
2019,"Robinson Chirinos","HOU",103,404,340,80,43,20,0,17,53,55,45,1,118,12,5,2,11,0,2,0.235294117,3142
2019,"Shin-Soo Choo","TEX",136,598,513,135,83,29,2,21,83,53,68,3,147,16,1,0,5,12,1,0.263157894,3174
2019,"Welington Castillo","CHW",63,224,205,42,22,11,0,9,16,30,15,0,67,3,1,0,8,0,0,0.204878048,3256
2019,"Robinson Cano","NYM",90,367,343,90,54,24,0,12,42,36,19,3,61,3,2,0,15,0,0,0.26239067,3269
2019,"Martin Prado","MIA",88,228,214,51,42,8,0,1,22,14,11,0,36,0,3,0,8,0,0,0.238317757,3312
2019,"Matt Joyce","ATL",111,196,166,48,31,10,0,7,26,21,30,0,40,0,0,0,3,0,0,0.289156626,3353
2019,"Ryan Braun","MIL",131,463,419,118,71,27,2,18,60,60,30,1,93,7,3,0,14,10,1,0.281622911,3410
2019,"Jeff Mathis","TEX",75,244,228,36,25,9,0,2,17,12,15,1,87,0,1,0,2,1,0,0.157894736,3448
2019,"Anthony Rizzo","CHC",135,572,476,136,81,28,2,25,83,87,67,3,81,26,3,0,15,5,2,0.285714285,3473
2019,"Eric Hosmer","SDP",143,603,558,156,107,27,2,20,68,92,39,3,135,2,4,0,12,0,3,0.279569892,3516
2019,"Eric Thames","MIL",132,398,341,87,44,20,2,21,57,55,48,4,123,7,2,0,0,3,2,0.255131964,3711
2019,"Josh Reddick","HOU",128,510,464,125,93,17,3,12,53,48,33,1,59,0,9,1,9,4,2,0.269396551,3892
2019,"Melky Cabrera","PIT",122,372,354,100,71,21,1,7,41,46,16,2,38,1,0,1,14,2,0,0.282485875,4022
2019,"Dexter Fowler","STL",131,492,424,104,65,22,1,16,59,60,56,1,114,8,3,1,5,7,4,0.245283018,4062
2019,"Michael Brantley","HOU",135,585,528,171,109,39,2,21,86,85,47,3,61,6,4,0,19,3,2,0.323863636,4106
2019,"Howie Kendrick","WSN",106,322,291,95,59,22,0,14,51,56,23,1,44,3,5,0,9,2,1,0.326460481,4229
2019,"Matt Wieters","STL",57,172,158,34,20,4,0,10,14,23,11,0,46,1,2,0,3,1,1,0.215189873,4298
2019,"Joey Votto","CIN",128,548,475,125,83,27,1,14,71,43,66,2,110,4,3,0,12,4,0,0.263157894,4314
2019,"Daniel Murphy","COL",117,438,399,112,65,33,1,13,51,73,31,0,68,2,4,0,8,1,1,0.280701754,4316
2019,"Starlin Castro","MIA",144,601,568,153,106,25,3,19,59,77,24,1,101,2,7,0,20,2,2,0.269366197,4579
2019,"Russell Martin","LAD",75,230,191,42,32,4,0,6,28,19,29,3,53,8,2,0,1,0,0,0.219895287,4616
2019,"Curtis Granderson","MIA",121,345,302,56,27,17,1,11,42,33,38,1,94,3,2,0,3,0,3,0.185430463,4747
2019,"Brian McCann","ATL",77,289,254,65,46,8,0,11,27,42,27,1,49,2,6,0,8,0,0,0.255905511,4810
