Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,"Fernando Rodney","WSN",7.2,35,7.0434,8,5,0,6,6,0,5,1,0,9,0.266666666,0.371428571,0.433333333,0.3368914460434633,494
2019,"Kenley Jansen","LAD",7.1,29,3.6818,4,1,0,3,3,0,2,0,0,6,0.153846153,0.206896551,0.192307692,0.17954973722326345,3096
2019,"Will Harris","HOU",5,17,0,1,1,0,0,0,0,1,0,0,6,0.0625,0.117647058,0.125,0.11218381278655108,3192
2019,"Francisco Liriano","PIT",6,24,3,3,0,0,2,2,0,3,0,0,4,0.142857142,0.25,0.142857142,0.19503958523273468,3201
2019,"Joe Smith","HOU",5,17,0,1,0,0,0,0,0,1,0,0,5,0.0625,0.117647058,0.0625,0.09178333422716926,3281
2019,"Liam Hendriks","OAK",8.2,35,3.1154,7,2,0,4,3,1,2,0,0,14,0.212121212,0.257142857,0.363636363,0.26376351969582695,3548
2019,"Matt Magill","SEA",5,20,1.8,5,0,0,1,1,1,0,0,0,5,0.263157894,0.263157894,0.421052631,0.2851301870848003,3950
2019,"Yusmeiro Petit","OAK",6.2,25,2.7,4,3,0,2,2,1,2,0,0,11,0.173913043,0.24,0.434782608,0.2787712001800537,4020
2019,"Hector Santiago","CHW",9.1,48,9.6429,12,3,0,10,10,3,9,0,0,16,0.307692307,0.4375,0.615384615,0.43538937345147133,4026
2019,"Pedro Strop","CHC",5.2,21,1.5882,2,0,0,1,1,0,2,0,0,9,0.105263157,0.19047619,0.105263157,0.14860158874875024,4070
2019,"Mark Melancon","ATL",5,19,0,3,0,0,0,0,0,0,0,0,4,0.157894736,0.157894736,0.157894736,0.1373290168611627,4264
2019,"Justin Wilson","NYM",6.1,30,2.8421,5,2,0,2,2,0,6,1,0,8,0.208333333,0.366666666,0.291666666,0.29293792001132307,4301
2019,"Tyler Chatwood","CHC",7.1,25,1.2273,3,1,0,1,1,0,1,0,0,8,0.125,0.16,0.166666666,0.1458650279045105,4338
2019,"Jake Diekman","OAK",5.2,23,1.5882,3,1,0,1,1,0,5,1,0,9,0.176470588,0.347826086,0.235294117,0.25992383740165015,5003
2019,"Jeurys Familia","NYM",8,33,3.375,10,0,0,3,3,1,1,0,0,4,0.3125,0.333333333,0.40625,0.3168724847562385,5114
2019,"Blake Parker","PHI",5.1,20,1.6875,4,1,0,1,1,1,1,0,0,7,0.222222222,0.263157894,0.444444444,0.29395249956532526,5224
2019,"Pedro Baez","LAD",6.1,24,1.4211,3,0,0,1,1,1,2,0,1,3,0.142857142,0.25,0.285714285,0.24077383428812027,5420
2019,"Ryan Brasier","BOS",6,23,0,3,1,0,0,0,0,2,0,0,9,0.142857142,0.217391304,0.19047619,0.1885735625806062,5615
2019,"Junior Guerra","MIL",7.2,30,2.3478,7,1,0,2,2,1,2,0,0,7,0.259259259,0.310344827,0.407407407,0.30637638116705007,5702
2019,"Kelvin Herrera","CHW",5.2,19,1.5882,1,0,0,1,1,1,1,0,0,9,0.055555555,0.105263157,0.222222222,0.13837042294050517,6033
2019,"Trevor Cahill","LAA",7.2,35,2.3478,7,2,0,2,2,1,4,0,1,8,0.24137931,0.342857142,0.413793103,0.3237806439399719,6249
2019,"Trevor May","MIN",8,30,2.25,4,0,0,2,2,2,2,0,0,9,0.142857142,0.2,0.357142857,0.23325256506601968,6398
2019,"Jose Cisnero","DET",5.1,30,8.4376,10,1,1,7,5,2,4,2,0,4,0.4,0.48275862,0.76,0.48969715612905995,6399
2019,"Carlos Carrasco","CLE",10,39,3.6,6,2,1,4,4,1,5,0,1,9,0.181818181,0.307692307,0.393939393,0.30287368786640656,6632
2019,"Alex Colome","CHW",6.1,28,2.8421,6,1,0,4,2,1,2,0,0,8,0.25,0.296296296,0.416666666,0.2968579486564354,6661
2019,"Andrew Miller","STL",8,35,5.625,7,1,0,6,5,1,2,0,2,8,0.225806451,0.314285714,0.354838709,0.29496710811342514,6785
