Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2019,"Fernando Rodney","2 Tms",39,171,5.5385,41,3,0,25,24,5,21,0,0,40,0.273333333,0.362573099,0.393333333,0.33067655145076286,494
2019,"Adam Ottavino","NYY",61.1,257,1.7609,41,8,1,13,12,5,36,2,2,81,0.189814814,0.30859375,0.305555555,0.27305102888054733,1247
2019,"Oliver Perez","CLE",37.2,158,2.8673,34,12,0,14,12,4,10,1,3,45,0.236111111,0.297468354,0.402777777,0.2954241705548232,1514
2019,"Sean Doolittle","WSN",55,242,4.0909,61,10,3,25,25,10,14,2,2,61,0.271111111,0.319502074,0.475555555,0.33017827127767907,1581
2019,"Hector Rondon","HOU",54.1,224,2.6503,45,11,0,16,16,8,18,0,2,41,0.222772277,0.29147982,0.396039603,0.2931504762760727,2391
2019,"Luis Avilan","NYM",29,127,4.6552,30,4,0,15,15,4,12,0,3,26,0.267857142,0.354330708,0.410714285,0.33228209966749656,2882
2019,"Kenley Jansen","LAD",54.2,229,3.7866,46,11,1,25,23,9,14,0,3,71,0.219047619,0.27510917,0.409523809,0.2878915519172968,3096
2019,"Tony Watson","SFG",54,231,4.1667,56,6,2,26,25,9,12,1,5,41,0.264150943,0.318777292,0.438679245,0.31981052458286285,3132
2019,"Will Harris","HOU",54.2,211,1.6463,41,2,0,14,10,6,13,0,0,56,0.208121827,0.257142857,0.30964467,0.24639558848880586,3192
2019,"Francisco Liriano","PIT",64,277,3.5156,57,15,0,30,25,8,32,1,3,59,0.239495798,0.334545454,0.403361344,0.3171300074479876,3201
2019,"T.J. McFarland","ARI",53.1,239,5.0625,69,13,2,35,30,6,19,5,1,35,0.320930232,0.375527426,0.48372093,0.3562020667154214,3237
2019,"Zack Britton","NYY",56.1,230,2.0769,37,6,0,13,13,3,32,1,1,47,0.190721649,0.305676855,0.268041237,0.26138069964291755,3240
2019,"Liam Hendriks","OAK",74.1,287,1.4529,51,14,1,12,12,4,17,5,2,108,0.193916349,0.245614035,0.300380228,0.22811477099146163,3548
2019,"Zach Duke","CIN",23.1,106,5.0143,21,5,0,13,13,4,18,1,2,18,0.25,0.39047619,0.452380952,0.3601177420753699,3840
2019,"Matt Magill","2 Tms",45,205,4.4,45,15,1,30,22,6,19,3,2,57,0.248618784,0.323529411,0.44198895,0.3179111892904215,3950
2019,"Yusmeiro Petit","OAK",74.1,277,2.7848,53,7,3,23,23,10,8,0,0,60,0.2,0.221014492,0.36226415,0.24171369641587354,4020
2019,"Pedro Strop","CHC",35,152,5.4,30,9,1,22,21,5,17,1,5,37,0.232558139,0.342105263,0.434108527,0.3302167077727665,4070
2019,"Derek Holland","2 Tms",45.2,201,4.7299,44,8,1,28,24,9,20,1,2,38,0.251428571,0.331658291,0.462857142,0.33273032548451664,4141
2019,"David Hernandez","CIN",42.2,198,8.0156,53,13,3,39,38,7,20,3,1,53,0.306358381,0.375634517,0.537572254,0.3738259175389083,4259
2019,"Mark Melancon","2 Tms",61,259,3.9836,66,9,1,28,27,4,18,2,2,64,0.277310924,0.332046332,0.373949579,0.30329422867251743,4264
2019,"Matt Albers","MIL",56.1,242,5.1124,48,11,0,32,32,6,28,3,3,54,0.23076923,0.327800829,0.370192307,0.2999907368872346,4300
2019,"Justin Wilson","NYM",32.2,136,2.4796,28,3,0,10,9,4,13,0,2,36,0.231404958,0.31617647,0.3553719,0.29473983101985035,4301
2019,"Tyler Chatwood","CHC",46.2,201,4.05,41,6,0,21,21,6,24,0,2,45,0.236994219,0.335,0.375722543,0.310827342569828,4338
2019,"Mike Montgomery","CHC",27,123,5.6667,35,10,1,18,17,6,13,1,0,18,0.327102803,0.396694214,0.607476635,0.4105617105960846,4869
2019,"Jake Diekman","2 Tms",56,256,4.9821,44,11,1,33,31,3,34,0,11,75,0.211538461,0.349019607,0.317307692,0.3033035142748964,5003
2019,"Jeurys Familia","NYM",51,237,6.1765,51,14,1,36,35,6,41,4,3,57,0.268421052,0.404255319,0.447368421,0.3636069328753979,5114
2019,"Wade LeBlanc","SEA",82.2,343,4.3548,83,19,0,41,40,16,20,1,1,60,0.259375,0.304093567,0.46875,0.32175486283567994,5221
