Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2019,"Fernando Rodney","WSN",7.2,35,10.5652,5.8695,1.8,0,0.2571,0.1429,0.1143,0.266666666,1.6956,0.381,0.5385,2.831735264461426,4.647513644141459,494
2019,"Kenley Jansen","LAD",7.1,29,7.3637,2.4546,3,0,0.2069,0.069,0.1379,0.153846153,0.8182,0.1905,0.5,2.404852373461426,4.845563200510973,3096
2019,"Will Harris","HOU",5,17,10.8,1.8,6,0,0.3529,0.0588,0.2941,0.0625,0.4,0.1,1,1.423037910461426,2.218525230884552,3192
2019,"Francisco Liriano","PIT",6,24,6,4.5,1.3333,0,0.1667,0.125,0.0417,0.142857142,1,0.1765,0.6667,3.389704576461426,3.721157627304396,3201
2019,"Joe Smith","HOU",5,17,9,1.8,5,0,0.2941,0.0588,0.2353,0.0625,0.4,0.0909,1,1.823037910461426,4.209499871730805,3281
2019,"Liam Hendriks","OAK",8.2,35,14.5384,2.0769,7,1.0385,0.4,0.0571,0.3429,0.212121212,1.0385,0.3333,0.6579,2.184580366461426,2.520319044971969,3548
2019,"Matt Magill","SEA",5,20,9,0,5,1.8,0.25,0,0.25,0.263157894,1,0.2857,1,3.823037910461426,3.2117562115192415,3950
2019,"Yusmeiro Petit","OAK",6.2,25,14.8499,2.7,5.5,1.35,0.44,0.08,0.36,0.173913043,0.9,0.2727,0.8696,2.773040160461426,2.314581178538447,4020
2019,"Hector Santiago","CHW",9.1,48,15.4286,8.6786,1.7778,2.8929,0.3333,0.1875,0.1458,0.307692307,2.25,0.45,0.6548,6.865908063461426,4.605021207850381,4026
2019,"Pedro Strop","CHC",5.2,21,14.294,3.1765,4.5,0,0.4286,0.0952,0.3333,0.105263157,0.7059,0.2,0.75,1.1054033084614265,2.158247980373976,4070
2019,"Mark Melancon","ATL",5,19,7.2,0,4,0,0.2105,0,0.2105,0.157894736,0.6,0.2,1,1.6230379104614259,2.816268891096115,4264
